Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 18. September 2005;;;;;;;;;;;;;;;;;;;;;;;;
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;;;;;;;;;;;;;;;;;;;;;;;;
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt. Bsp. 13051711: Briefwahlergebnis der Gemeinden des Amtes Bad Doberan-Land (Amt 5111);;;;;;;;;;;;;;;;;;;;;;;;

Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;SPD;CDU;Die Linke.;FDP;GRÜNE;NPD;GRAUE;MLPD;PBC;Einzelbewerber
A;51;Bad Doberan;5111;Bad Doberan-Land;13051028;Hohenfelde;1;1;656;509;77,6;1;5;504;172;184;99;20;17;10;x;x;0;2
P;51;Bad Doberan;5111;Bad Doberan-Land;13051028;Hohenfelde;1;1;656;509;77,6;1;1;99;34,1;36,5;19,6;4;3,4;2;x;x;0;0,4
A;51;Bad Doberan;5111;Bad Doberan-Land;13051028;Hohenfelde;1;1;656;509;77,6;2;5;504;159;173;101;35;24;9;0;1;2;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051028;Hohenfelde;1;1;656;509;77,6;2;1;99;31,5;34,3;20;6,9;4,8;1,8;0;0,2;0,4;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051049;Nienhagen;2;2;1551;1089;70,2;1;15;1074;377;397;185;38;36;31;x;x;2;8
P;51;Bad Doberan;5111;Bad Doberan-Land;13051049;Nienhagen;2;2;1551;1089;70,2;1;1,4;98,6;35,1;37;17,2;3,5;3,4;2,9;x;x;0,2;0,7
A;51;Bad Doberan;5111;Bad Doberan-Land;13051049;Nienhagen;2;2;1551;1089;70,2;2;12;1077;349;364;182;95;44;32;9;1;1;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051049;Nienhagen;2;2;1551;1089;70,2;2;1,1;98,9;32,4;33,8;16,9;8,8;4,1;3;0,8;0,1;0,1;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051059;Reddelich;1;1;663;494;74,5;1;10;484;182;146;106;21;10;17;x;x;0;2
P;51;Bad Doberan;5111;Bad Doberan-Land;13051059;Reddelich;1;1;663;494;74,5;1;2;98;37,6;30,2;21,9;4,3;2,1;3,5;x;x;0;0,4
A;51;Bad Doberan;5111;Bad Doberan-Land;13051059;Reddelich;1;1;663;494;74,5;2;7;487;156;150;106;33;23;16;1;2;0;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051059;Reddelich;1;1;663;494;74,5;2;1,4;98,6;32;30,8;21,8;6,8;4,7;3,3;0,2;0,4;0;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051063;Retschow;1;1;757;514;67,9;1;14;500;188;143;123;16;12;16;x;x;0;2
P;51;Bad Doberan;5111;Bad Doberan-Land;13051063;Retschow;1;1;757;514;67,9;1;2,7;97,3;37,6;28,6;24,6;3,2;2,4;3,2;x;x;0;0,4
A;51;Bad Doberan;5111;Bad Doberan-Land;13051063;Retschow;1;1;757;514;67,9;2;11;503;165;131;122;39;28;14;3;0;1;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051063;Retschow;1;1;757;514;67,9;2;2,1;97,9;32,8;26;24,3;7,8;5,6;2,8;0,6;0;0,2;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051074;Steffenshagen;1;1;403;304;75,4;1;6;298;113;85;62;8;16;13;x;x;0;1
P;51;Bad Doberan;5111;Bad Doberan-Land;13051074;Steffenshagen;1;1;403;304;75,4;1;2;98;37,9;28,5;20,8;2,7;5,4;4,4;x;x;0;0,3
A;51;Bad Doberan;5111;Bad Doberan-Land;13051074;Steffenshagen;1;1;403;304;75,4;2;8;296;97;83;71;22;8;12;1;1;1;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051074;Steffenshagen;1;1;403;304;75,4;2;2,6;97,4;32,8;28;24;7,4;2,7;4,1;0,3;0,3;0,3;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051083;Wittenbeck;1;1;627;398;63,5;1;14;384;126;130;66;17;21;19;x;x;3;2
P;51;Bad Doberan;5111;Bad Doberan-Land;13051083;Wittenbeck;1;1;627;398;63,5;1;3,5;96,5;32,8;33,9;17,2;4,4;5,5;4,9;x;x;0,8;0,5
A;51;Bad Doberan;5111;Bad Doberan-Land;13051083;Wittenbeck;1;1;627;398;63,5;2;11;387;124;111;62;37;26;21;4;0;2;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051083;Wittenbeck;1;1;627;398;63,5;2;2,8;97,2;32;28,7;16;9,6;6,7;5,4;1;0;0,5;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051711;Briefwahl Bad Doberan-Land;1;1;0;880;0;1;5;875;270;336;190;24;40;10;x;x;1;4
P;51;Bad Doberan;5111;Bad Doberan-Land;13051711;Briefwahl Bad Doberan-Land;1;1;0;880;0;1;0,6;99,4;30,9;38,4;21,7;2,7;4,6;1,1;x;x;0,1;0,5
A;51;Bad Doberan;5111;Bad Doberan-Land;13051711;Briefwahl Bad Doberan-Land;1;1;0;880;0;2;4;876;253;319;170;65;49;11;7;1;1;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051711;Briefwahl Bad Doberan-Land;1;1;0;880;0;2;0,5;99,5;28,9;36,4;19,4;7,4;5,6;1,3;0,8;0,1;0,1;x
A;51;Bad Doberan;5112;Carbäk;13051015;Broderstorf;2;2;2514;1769;70,4;1;44;1725;629;521;341;114;108;x;x;12;x;x
P;51;Bad Doberan;5112;Carbäk;13051015;Broderstorf;2;2;2514;1769;70,4;1;2,5;97,5;36,5;30,2;19,8;6,6;6,3;x;x;0,7;x;x
A;51;Bad Doberan;5112;Carbäk;13051015;Broderstorf;2;2;2514;1769;70,4;2;29;1740;626;483;367;119;72;47;17;6;3;x
P;51;Bad Doberan;5112;Carbäk;13051015;Broderstorf;2;2;2514;1769;70,4;2;1,6;98,4;36;27,8;21,1;6,8;4,1;2,7;1;0,3;0,2;x
A;51;Bad Doberan;5112;Carbäk;13051037;Klein Kussewitz;1;1;576;381;66,1;1;6;375;119;103;75;47;23;x;x;8;x;x
P;51;Bad Doberan;5112;Carbäk;13051037;Klein Kussewitz;1;1;576;381;66,1;1;1,6;98,4;31,7;27,5;20;12,5;6,1;x;x;2,1;x;x
A;51;Bad Doberan;5112;Carbäk;13051037;Klein Kussewitz;1;1;576;381;66,1;2;6;375;120;108;82;21;20;11;5;7;1;x
P;51;Bad Doberan;5112;Carbäk;13051037;Klein Kussewitz;1;1;576;381;66,1;2;1,6;98,4;32;28,8;21,9;5,6;5,3;2,9;1,3;1,9;0,3;x
A;51;Bad Doberan;5112;Carbäk;13051045;Mandelshagen;1;1;234;138;59;1;3;135;44;44;38;4;4;x;x;1;x;x
P;51;Bad Doberan;5112;Carbäk;13051045;Mandelshagen;1;1;234;138;59;1;2,2;97,8;32,6;32,6;28,1;3;3;x;x;0,7;x;x
A;51;Bad Doberan;5112;Carbäk;13051045;Mandelshagen;1;1;234;138;59;2;3;135;49;42;35;4;2;3;0;0;0;x
